quant,batch,in_len,rep,joules,j_per_token,e2e_ms
int8,1,512,17,281.128,4.3926,8115.8
int8,1,512,18,280.983,4.3904,8076.8
int8,1,512,19,274.608,4.2908,8019.3
int8,1,512,20,278.482,4.3513,8113.7
int8,1,512,21,280.646,4.3851,8168.3
int8,1,512,22,275.34,4.3022,8101.1
int8,1,512,23,279.132,4.3614,8129.3
int8,1,512,24,279.456,4.3665,8084.9
int8,1,512,25,277.146,4.3304,8032.8
int8,1,512,26,277.883,4.3419,8098.0
int8,1,512,27,280.668,4.3854,8061.8
int8,1,512,28,276.608,4.322,8054.0
int8,1,512,29,276.565,4.3213,8038.3
int8,8,128,0,310.209,0.6059,8830.9
int8,8,128,1,310.618,0.6067,8766.6
int8,8,128,2,311.77,0.6089,8770.3
int8,8,128,3,308.317,0.6022,8734.2
int8,8,128,4,302.748,0.5913,8573.2
int8,8,128,5,314.526,0.6143,8805.6
int8,8,128,6,313.088,0.6115,8878.7
int8,8,128,7,314.56,0.6144,8836.7
int8,8,128,8,308.512,0.6026,8653.5
int8,8,128,9,312.481,0.6103,8655.1
int8,8,128,10,314.432,0.6141,8797.5
int8,8,128,11,313.286,0.6119,8857.8
int8,8,128,12,314.523,0.6143,8802.4
int8,8,128,13,313.025,0.6114,8817.5
int8,8,128,14,311.973,0.6093,8828.3
int8,8,128,15,309.12,0.6038,8779.4
int8,8,128,16,311.646,0.6087,8773.1
int8,8,128,17,308.121,0.6018,8757.8
int8,8,128,18,313.386,0.6121,8802.1
int8,8,128,19,311.762,0.6089,8817.4
int8,8,128,20,312.793,0.6109,8755.0
int8,8,128,21,312.074,0.6095,8796.5
int8,8,128,22,310.101,0.6057,8713.0
int8,8,128,23,307.534,0.6007,8787.1
int8,8,128,24,311.1,0.6076,8775.2
int8,8,128,25,312.296,0.61,8826.6
int8,8,128,26,312.928,0.6112,8829.6
int8,8,128,27,310.593,0.6066,8770.0
int8,8,128,28,312.552,0.6105,8818.6
int8,8,128,29,311.699,0.6088,8843.8
int8,8,512,0,388.757,0.7593,9340.6
int8,8,512,1,389.265,0.7603,9408.8
int8,8,512,2,372.453,0.7274,9305.9
int8,8,512,3,385.571,0.7531,9267.5
int8,8,512,4,381.792,0.7457,9175.4
int8,8,512,5,376.609,0.7356,9296.0
int8,8,512,6,391.674,0.765,9394.0
int8,8,512,7,373.328,0.7292,9285.3
int8,8,512,8,384.655,0.7513,9323.4
int8,8,512,9,382.757,0.7476,9238.8
int8,8,512,10,384.04,0.7501,9296.6
int8,8,512,11,388.569,0.7589,9303.4
int8,8,512,12,374.824,0.7321,9188.8
int8,8,512,13,385.261,0.7525,9310.1
int8,8,512,14,383.321,0.7487,9355.5
int8,8,512,15,381.103,0.7443,9309.3
int8,8,512,16,385.997,0.7539,9306.3
int8,8,512,17,386.44,0.7548,9261.0
int8,8,512,18,384.511,0.751,9299.3
int8,8,512,19,386.408,0.7547,9320.5
int8,8,512,20,385.774,0.7535,9335.8
int8,8,512,21,385.724,0.7534,9362.2
int8,8,512,22,386.682,0.7552,9302.3
int8,8,512,23,389.221,0.7602,9281.2
int8,8,512,24,387.994,0.7578,9331.5
int8,8,512,25,384.673,0.7513,9168.4
int8,8,512,26,383.299,0.7486,9310.5
int8,8,512,27,385.352,0.7526,9333.2
int8,8,512,28,382.416,0.7469,9275.5
int8,8,512,29,376.21,0.7348,9202.6
int4,1,128,0,98.283,1.5357,2769.0
int4,1,128,1,101.816,1.5909,2789.9
int4,1,128,2,101.076,1.5793,2816.3
int4,1,128,3,101.532,1.5864,2829.4
int4,1,128,4,101.296,1.5828,2822.5
int4,1,128,5,101.782,1.5903,2780.2
int4,1,128,6,101.543,1.5866,2833.5
int4,1,128,7,98.075,1.5324,2785.8
int4,1,128,8,101.736,1.5896,2786.4
int4,1,128,9,102.29,1.5983,2763.4
int4,1,128,10,101.959,1.5931,2786.2
int4,1,128,11,102.002,1.5938,2833.4
int4,1,128,12,102.557,1.6025,2755.2
int4,1,128,13,102.27,1.598,2762.6
int4,1,128,14,98.79,1.5436,2773.1
int4,1,128,15,101.889,1.592,2802.1
int4,1,128,16,98.737,1.5428,2743.2
int4,1,128,17,101.783,1.5904,2775.1
int4,1,128,18,99.162,1.5494,2759.3
int4,1,128,19,102.72,1.605,2754.9
int4,1,128,20,105.77,1.6527,2822.8
int4,1,128,21,102.185,1.5966,2773.2
int4,1,128,22,98.902,1.5453,2760.7
int4,1,128,23,101.99,1.5936,2779.3
int4,1,128,24,102.239,1.5975,2796.7
int4,1,128,25,98.368,1.537,2791.4
int4,1,128,26,101.802,1.5907,2755.7
int4,1,128,27,98.832,1.5442,2771.0
int4,1,128,28,101.713,1.5893,2795.1
int4,1,128,29,101.786,1.5904,2822.8
int4,1,512,0,101.616,1.5877,2776.6
int4,1,512,1,104.726,1.6363,2827.5
int4,1,512,2,108.568,1.6964,2842.2
int4,1,512,3,108.757,1.6993,2830.6
int4,1,512,4,105.391,1.6467,2816.0
int4,1,512,5,105.6,1.65,2816.0
int4,1,512,6,105.799,1.6531,2800.8
int4,1,512,7,105.544,1.6491,2780.1
int4,1,512,8,105.807,1.6532,2827.0
int4,1,512,9,105.333,1.6458,2796.4
int4,1,512,10,104.806,1.6376,2805.3
int4,1,512,11,104.603,1.6344,2762.6
int4,1,512,12,101.256,1.5821,2753.4
int4,1,512,13,104.696,1.6359,2813.0
int4,1,512,14,105.122,1.6425,2796.6
int4,1,512,15,101.81,1.5908,2778.1
int4,1,512,16,104.555,1.6337,2753.9
int4,1,512,17,101.161,1.5806,2774.4
int4,1,512,18,105.438,1.6475,2755.3
int4,1,512,19,104.404,1.6313,2795.0
int4,1,512,20,105.321,1.6456,2762.7
int4,1,512,21,101.275,1.5824,2776.6
int4,1,512,22,108.503,1.6954,2880.6
int4,1,512,23,101.987,1.5935,2763.4
int4,1,512,24,105.688,1.6514,2773.0
int4,1,512,25,105.984,1.656,2799.6
int4,1,512,26,105.091,1.642,2816.0
int4,1,512,27,105.649,1.6508,2780.8
int4,1,512,28,105.169,1.6433,2767.6
int4,1,512,29,104.964,1.6401,2793.5
int4,8,128,0,120.754,0.2358,2794.6
int4,8,128,1,124.988,0.2441,2881.7
int4,8,128,2,124.031,0.2422,2784.4
int4,8,128,3,119.922,0.2342,2799.3
int4,8,128,4,119.426,0.2333,2797.1
int4,8,128,5,119.671,0.2337,2838.6
int4,8,128,6,118.045,0.2306,2890.4
int4,8,128,7,121.522,0.2373,2804.9
int4,8,128,8,121.319,0.237,2824.9
int4,8,128,9,120.721,0.2358,2803.8
int4,8,128,10,119.844,0.2341,2840.9
int4,8,128,11,121.384,0.2371,2781.0
int4,8,128,12,121.519,0.2373,2789.2
int4,8,128,13,120.6,0.2355,2814.7
int4,8,128,14,122.674,0.2396,2829.1
int4,8,128,15,122.375,0.239,2897.6
int4,8,128,16,121.592,0.2375,2801.3
int4,8,128,17,121.622,0.2375,2762.8
int4,8,128,18,120.342,0.235,2775.0
int4,8,128,19,120.601,0.2355,2816.5
int4,8,128,20,120.458,0.2353,2803.2
int4,8,128,21,120.817,0.236,2839.1
int4,8,128,22,119.913,0.2342,2792.2
int4,8,128,23,121.539,0.2374,2813.3
int4,8,128,24,125.854,0.2458,2898.8
int4,8,128,25,119.383,0.2332,2813.3
int4,8,128,26,120.884,0.2361,2785.3
int4,8,128,27,122.093,0.2385,2795.4
int4,8,128,28,121.766,0.2378,2809.6
int4,8,128,29,123.074,0.2404,2819.2
int4,8,512,0,204.608,0.3996,3096.9
int4,8,512,1,206.226,0.4028,3127.7
int4,8,512,2,199.708,0.3901,3100.1
int4,8,512,3,202.106,0.3947,3093.5
int4,8,512,4,201.521,0.3936,3142.9
int4,8,512,5,203.937,0.3983,3103.1
int4,8,512,6,202.469,0.3954,3111.2
int4,8,512,7,196.602,0.384,3089.6
int4,8,512,8,202.927,0.3963,3121.8
int4,8,512,9,201.56,0.3937,3145.9
int4,8,512,10,207.923,0.4061,3188.4
int4,8,512,11,204.287,0.399,3095.4
int4,8,512,12,200.349,0.3913,3077.7
int4,8,512,13,204.571,0.3996,3096.0
int4,8,512,14,204.795,0.4,3119.9
int4,8,512,15,203.309,0.3971,3141.6
int4,8,512,16,197.184,0.3851,3079.5
int4,8,512,17,202.1,0.3947,3137.7
int4,8,512,18,203.624,0.3977,3081.8
int4,8,512,19,203.842,0.3981,3104.8
int4,8,512,20,207.335,0.405,3139.1
int4,8,512,21,206.45,0.4032,3123.4
int4,8,512,22,202.662,0.3958,3080.0
int4,8,512,23,204.625,0.3997,3104.7
int4,8,512,24,205.971,0.4023,3124.9
int4,8,512,25,203.461,0.3974,3197.8
int4,8,512,26,208.126,0.4065,3164.6
int4,8,512,27,197.788,0.3863,3086.6
int4,8,512,28,202.574,0.3957,3124.5
int4,8,512,29,202.893,0.3963,3104.9
